,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue Id,Venue Name,Venue Latitude,Venue Longitude,Venue Category,rating
0,Wakefield,40.894705176609996,-73.84720052054901,508af256e4b0578944c87392,Cooler Runnings Jamaican Restaurant Inc,40.89827622104366,-73.85038105139019,Caribbean Restaurant,6.8
1,Co-op City,40.87429419303012,-73.829939108124,5bc797c82d2fd9002c1b3ec6,Arby's,40.8704113,-73.82860600000002,Fast Food Restaurant,6.5
2,Co-op City,40.87429419303012,-73.829939108124,4be2b79d660ec9284d04ca3b,Townhouse Restaurant,40.876085887834265,-73.82886815052547,Restaurant,5.8
3,Co-op City,40.87429419303012,-73.829939108124,4c9d5f2654c8a1cd2e71834b,Guang Hui Chinese Restaurant,40.87660292677318,-73.82971005218339,Chinese Restaurant,0
4,Co-op City,40.87429419303012,-73.829939108124,4c28fb31fe6e2d7fa81e543c,Kennedy's,40.87680662096625,-73.82962703704834,Fast Food Restaurant,0
5,Co-op City,40.87429419303012,-73.829939108124,4c7001dfdf6b8cfa56c9b64d,Seven Seas,40.870164362171,-73.82890593795487,Restaurant,0
6,Eastchester,40.887555677350775,-73.82780644716412,515cc20ce4b0deb133b8e89b,Fish & Ting,40.88553926848355,-73.82915130799964,Caribbean Restaurant,8.4
7,Eastchester,40.887555677350775,-73.82780644716412,4bfdd3dfb68d0f47fa6fe957,Dyre Fish Market,40.889317642958616,-73.83145257358295,Seafood Restaurant,7.9
8,Eastchester,40.887555677350775,-73.82780644716412,4c632fbaeb82d13a3c5007d6,Golden Krust Caribbean Bakery and Grill,40.888543185027366,-73.83127757319923,Caribbean Restaurant,6.6
9,Eastchester,40.887555677350775,-73.82780644716412,4c406f2e6c1a9521a042b96a,McDonald's,40.88563631373264,-73.82683955509486,Fast Food Restaurant,6.0
10,Eastchester,40.887555677350775,-73.82780644716412,4dbf84a24df0f8fd6b88c9b6,Royal Caribbean Bakery,40.888251933965,-73.83145707477787,Caribbean Restaurant,5.8
11,Eastchester,40.887555677350775,-73.82780644716412,4dabc3dc93a04642f09ccabd,Xing Lung Chinese Restaurant,40.8887854684858,-73.83122576835156,Chinese Restaurant,0
12,Kingsbridge,40.88168737120521,-73.90281798724605,55297008498e9286460da191,Leche y Miel,40.88370946311039,-73.90160581178267,Latin American Restaurant,8.6
13,Kingsbridge,40.88168737120521,-73.90281798724605,4bd8e98811dcc928f865f833,El Malecon,40.87933806746814,-73.90445707056641,Caribbean Restaurant,8.7
